RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021
395574,6130,Adams,City,MA,MA,Pittsfield,Berkshire County,93863,93528,93453,93256,93380,93459,93522,93700,93786,93624,93224,92642,92297,92495,92516,92721,92316,92327,92422,92654,93017,93522,93914,94802,95235,95280,95495,95633,96200,96118,95941,95369,95059,95083,95817,95957,96442,96863,97388,97383,97240,97362,97751,98123,97948,97941,98147,99007,99552,99942,99889,100422,100892,102091,103009,103985,105294,106137,106396,106005,106188,107143,108483,109230,110151,109566,109506,109260,109491,109319,109367,109806,110155,110151,110305,110757,111210,112142,112968,113922,114399,115832,117011,118495,119417,120447,121105,121912,122662,124223,125001,126057,126941,127730,128848,129505,130597,131636,133080,134455,135892,136625,138168,139824,141802,144066,145917,148048,149709,150627,151332,152643,154246,156167,157786,158726,160030,159833,160591,160762,161408,163157,164977,165494,165134,164567,164493,165132,164990,166723,167650,169013,170220,170735,171066,171258,171953,172398,172711,172608,172914,171988,170771,169887,168586,167359,165260,163702,162553,161949,162015,161319,160576,159109,158050,156839,156368,156124,156246,156224,155320,154367,151876,150613,149461,149633,149861,149454,148642,147965,147894,148582,149764,150246,150703,150425,150249,150428,150262,150230,149674,148561,148047,147170,146282,145497,145988,146659,146663,144736,142804,141622,141342,141574,140061,138376,136270,135449,133755,132698,131652,132338,133297,134506,135044,135547,136492,137481,138675,138931,139600,139805,140284,140014,139948,138703,138059,136739,136657,136404,137260,138032,138536,138043,138136,138646,139224,140040,140718,141853,142198,142262,140974,139772,139382,140589,140941,140916,140421,140373,139960,139614,139173,139496,139885,140205,139436,138030,137440,137046,137368,137466,138224,138991,140334,141149,142277,143324,144821,146337,147451,148268,147945,147687,146977,146551,145820,145655,145341,145497,146263,147280,148042,148498,149226,149879,150833,152242,153573,154257,155305,156267,156570,155867,154965,154862,154907,155523,155962,156281,156518,157421,158028,158647,159232,160896,163067,165011,167112,169003,171189,173446,176154,178860,181983
50932,15889,Becket,City,MA,MA,Pittsfield,Berkshire County,105562,104185,103151,101483,100874,99941,99986,100582,101649,102146,102464,103527,104506,106151,108164,110414,111087,112240,111587,110762,109633,110339,112166,113358,115034,115947,116838,116861,117964,119648,122285,124488,126882,128611,128892,128403,127150,127302,127527,128248,128296,128617,129478,130317,130178,128821,128552,129658,132180,134166,135327,136357,138525,140308,141733,141988,143209,145214,147518,149160,149502,150503,152116,154121,154727,154596,154186,154687,155764,156046,155869,155342,156186,156321,156710,156554,157743,159196,160511,161667,161422,162934,164663,167793,169770,171591,172722,174539,174441,174837,176321,178348,181914,182799,184214,183740,183739,183914,184551,186690,191468,196057,200321,203369,205846,209544,212060,215605,218707,221960,225314,226855,227087,226973,225195,225100,225641,228075,230548,232398,233220,233269,234190,234318,235196,235579,237410,238648,236801,233901,232518,233065,236156,238764,239537,241237,240007,240158,240181,240773,245319,248502,250947,251785,250776,251758,251717,249502,249569,249097,252914,254586,254800,252675,248626,244228,241413,239070,237634,234281,230035,226713,219717,214541,210368,211256,213413,213700,213198,212127,211798,217640,224628,229668,230960,230131,227220,223831,220648,221106,220474,218952,217525,214846,211621,207784,208373,208319,210089,207679,207185,206727,207288,208374,208935,206435,203444,203294,201745,204852,204121,208237,207946,207580,207131,207354,207788,209766,211821,212794,213607,212187,213110,212003,213084,213196,213571,213093,213269,212809,213092,212480,212591,211636,211171,210954,211636,212158,211791,211306,209463,208493,206796,207257,208393,210832,212527,213311,212790,211989,212679,213542,216392,217868,220412,220571,220220,220054,220139,221768,219907,219102,216791,217518,217184,217943,218614,219277,218662,215000,212510,208867,212836,216274,221534,221960,221741,220991,218865,217907,219199,223242,226177,228973,230029,231447,231662,232647,234558,237106,241824,245089,246512,244466,242571,241294,239642,238704,237804,238165,238235,238221,238261,239189,241109,244512,248413,252438,256353,259931,264140,268466,273272,278477,283376
51380,11422,Cheshire,City,MA,MA,Pittsfield,Berkshire County,128439,128000,127134,126005,124686,122756,120958,119986,119595,118514,117057,116212,116207,116059,116550,116891,117626,119034,120343,121227,122051,123902,125724,126973,127153,127574,127430,127052,127172,128051,129304,129650,129204,129119,130052,131125,132202,133042,133927,134811,134986,135231,135500,136435,137492,137897,138788,138981,139661,139407,139537,139448,140160,140900,141481,141330,141142,142081,142574,143974,144684,146584,147279,148314,148599,148663,148785,148899,149144,148073,147036,146414,146825,147128,148387,149184,150563,151925,153300,155928,158994,162713,165131,166627,167376,168443,169190,170201,170803,171400,171910,171343,171048,171740,174438,176887,179081,180473,182233,184668,187316,190032,193107,196768,200229,202045,202874,204287,206460,208246,209473,209848,210889,211388,211507,211317,211539,213162,215127,216654,217280,218745,221327,223866,225655,229017,232558,236235,237231,237531,238079,240055,242996,244763,244527,244026,243277,241593,239887,237601,237320,236722,236468,235114,232999,231445,230432,229183,228196,227425,227451,227192,226895,226207,222937,219350,216351,214990,213534,211319,208988,206245,203474,201291,200170,199427,200541,200952,200784,199999,199686,202253,205026,207312,207234,207268,205921,205934,205001,205386,205207,203919,202983,201677,200474,199396,200409,200178,200755,198208,197551,196549,196646,196965,196714,194083,191712,190864,189415,189915,188515,190385,189620,189630,189446,190575,191875,193518,193561,192720,192583,193153,194832,195277,196731,197036,197175,195972,195410,196385,199359,201427,202636,201535,201423,200706,200613,201317,202764,204380,205381,204860,203428,202645,203186,204869,205145,205624,205948,206025,205694,206042,206428,207512,207582,207986,207087,205740,204956,205396,206347,207148,207073,206493,206094,205874,207772,209187,210321,211267,213090,213988,213689,213203,213448,213405,213269,213379,212653,212535,213077,214275,214325,213873,214030,213764,214154,215450,217809,219969,221766,222246,222585,221528,221848,222185,222491,223368,224346,226440,226588,226389,225852,226874,228084,230395,232231,234704,237444,240306,242993,244797,248072,252158,257340
4109,16231,Clarksburg,City,MA,MA,Pittsfield,Berkshire County,91151,91138,91031,91309,91870,93139,94239,95929,96988,97911,98220,98528,98366,97447,96744,96073,95196,93074,91282,89303,88207,86968,86544,86514,87450,90540,93717,96369,98287,100621,102435,103086,104150,106120,108192,109870,110922,110207,110019,110143,111410,112275,113756,115878,116834,117308,117968,117879,117423,117097,117198,117564,117686,118445,119777,121193,122671,123763,123979,125199,126087,127511,128870,129959,131659,131492,131008,130669,130910,129214,127877,126347,127967,129111,130604,131184,131668,131963,131469,129589,129775,133333,136851,140377,139641,139295,136359,135897,133953,134762,136071,138929,139047,138676,140398,142445,145814,148145,152570,154899,158534,160097,160600,160853,161091,161969,160318,157825,155239,153318,152109,153489,154548,156416,159127,162567,167072,169342,171832,175738,180049,184798,187070,186709,186571,188035,190310,191523,192193,193757,195895,196354,197068,197469,199123,199336,198308,196405,195695,196225,196083,196057,193125,190759,186565,183658,181273,182827,186707,188530,186785,182162,178864,175053,175379,175825,179142,180531,180941,178071,173973,171281,170645,170842,172224,174057,175123,174302,172220,171134,170482,171334,171951,171092,169679,168774,165642,162715,158661,158027,156750,154965,153560,152717,152080,151289,151908,151700,153065,151728,151747,151035,151471,152194,151914,150048,147806,147917,146143,147088,145567,148584,149564,150795,151227,151531,152607,154253,156352,156769,156954,155813,156074,154898,154577,152477,150958,149872,149650,149157,148967,148892,150596,150675,151374,150734,150324,150684,150941,151482,151278,151408,150497,150118,149247,150991,151973,153700,154116,154574,154644,153231,151633,150039,150738,151242,151062,148861,146644,145108,144848,144462,143170,143399,143793,145535,145504,145524,145576,145582,145836,144947,144700,145871,148561,151172,153900,155071,155069,153748,153255,153507,154720,156613,158855,158669,159106,159820,160869,160886,162621,164800,165904,164954,165345,166168,166921,167365,167688,166373,165444,165487,165249,165009,164929,167343,168543,169719,171072,174106,177188,182058,187139,193049,199567
44848,7120,Dalton,City,MA,MA,Pittsfield,Berkshire County,121045,120424,119841,119090,118132,117116,115693,115172,114907,114779,114385,114240,114697,115295,116147,116381,117106,118065,119972,121283,122438,123525,124894,125916,125996,125872,125599,125809,126126,126410,126229,125299,124717,124271,124084,124007,124363,125123,125670,125888,126049,126720,127961,129354,129948,130479,131453,132802,134004,134590,135199,136303,137340,138505,138936,139443,139666,139947,140177,140320,140640,141469,142495,142885,143187,142437,142027,141901,143206,144786,145632,146076,146472,146835,147450,148205,149445,151030,152848,154393,155690,156429,157068,158118,159314,160781,161451,162305,162874,163922,164615,165110,165086,165798,168194,170523,172543,173550,175211,177186,179412,181291,183296,185625,188205,190051,190771,191471,192742,194139,195860,197647,199477,200694,202089,203679,205761,208146,210792,213115,214359,216147,217566,218662,219140,220976,222743,224655,224608,224598,224009,224973,226523,228012,228250,227923,227387,226634,225975,223931,222496,220808,220766,219690,218570,216930,216049,214560,213915,212587,211571,211074,211698,212397,210089,207243,204859,203835,202279,200483,198077,195997,194035,193260,192947,192560,193191,193273,192754,191944,192008,194473,197159,199383,199456,198046,195996,195321,195299,195524,195089,193615,192910,191493,190282,188896,189824,190570,190718,187838,185487,184210,183900,184124,182495,180154,177707,176858,174865,174020,172538,173800,173659,173706,173998,174785,175916,176325,176370,175550,175574,175713,176921,177233,178292,178323,177808,176461,176330,177537,179436,181001,181460,180829,179748,178962,178452,178620,179154,180434,181098,180811,179227,177968,178059,179625,181173,182320,183177,183871,184254,184079,183849,184578,186115,187579,188062,187107,186570,186208,186941,187417,188043,188533,189225,189376,190117,190547,191006,192029,193564,194895,194443,194178,194103,194348,194346,194263,194050,194157,195217,196388,196540,196398,196965,197428,197977,198777,199753,201227,202990,204598,204886,203595,202769,202733,203650,205093,206451,208100,209366,210324,210119,210375,211428,214105,217043,219802,222089,224298,226846,229352,232573,236287,241323
398636,23527,Egremont,City,MA,MA,Pittsfield,Berkshire County,165142,165947,167037,169023,170947,172378,173284,172259,171112,170978,173916,177773,182434,186013,188726,189369,189592,188933,189334,193872,200048,205113,204747,202550,199173,197183,195840,197427,199884,205445,209477,211211,210411,208508,208065,208734,210393,212465,214375,216386,219391,221733,226501,230479,233933,237853,241075,242484,242191,240845,240559,239700,237713,235880,234292,233425,232454,231078,232133,238286,244105,251178,255179,260391,265926,270248,272824,277340,284825,294682,298613,299573,301337,305139,310431,315779,319725,325468,328408,330625,331325,329420,332954,332565,334458,333481,335245,337499,337874,337064,338248,340915,341619,342733,344587,349222,352920,356648,361497,364863,374069,383057,394355,399495,408238,418615,428509,437183,443636,448440,445916,442692,437201,436421,432990,436386,439598,442331,439396,437498,438107,443865,456249,469642,483219,490890,501548,508444,510821,514957,523453,534303,541418,543254,541253,536067,529173,520273,511919,504221,503482,497798,492238,482867,476332,472568,468947,466707,468057,475119,479377,480414,475041,471847,470319,472380,475221,475694,474721,472985,465902,459058,454874,455891,457963,459171,459786,457585,452662,449091,447873,452507,457338,457825,453561,449063,452106,457842,460801,460564,459915,458340,454661,449417,445858,442550,444202,446486,441880,431242,419797,417845,416416,417760,419845,416500,410679,406620,400745,394127,387273,387296,389725,386325,386318,382601,381103,379301,380497,384029,387273,390705,392177,392478,393615,394396,393109,392439,389957,390689,391728,389685,387885,383041,381481,376575,371238,368589,366341,364566,363294,362701,361247,358691,354778,353769,353566,357407,360269,361539,362485,365762,367801,368131,366875,368833,372326,375078,375839,376010,378682,381421,384041,383452,384619,385198,388697,391271,392974,394973,397777,401338,400515,401120,399460,399733,400263,405412,409533,412373,418443,423480,428781,427506,430973,432123,437413,442968,447480,449462,451784,455695,451468,442123,431277,427738,425848,428212,432178,437622,440899,441315,440309,440271,446773,458511,472023,484488,495369,504787,512643,520445,532499,549502,569902
24730,22088,Florida,City,MA,MA,Pittsfield,Berkshire County,129058,130623,127849,125344,120288,118892,118099,119453,119845,120076,119684,119037,118556,115560,116286,115645,118832,116531,112706,106881,104013,103622,104874,105163,104382,102370,101050,101368,102496,104605,108520,111008,112733,110590,106917,106171,107628,113356,115873,118333,116718,117740,118147,119976,117693,116895,117903,117370,116169,112762,110933,107134,103952,100770,98423,98778,102822,107614,109294,109212,107997,107562,107613,108620,111962,114257,117536,118797,119892,118037,116930,116344,117977,119975,121496,122932,122595,121264,116787,111488,106888,106993,109119,113076,114538,115926,116964,118712,118702,119465,121986,124821,125840,124496,126545,128789,133526,135713,137558,137654,139928,141128,142752,144373,149502,155532,154607,151118,144824,141198,138380,139092,142493,147090,149698,154054,153282,151554,150979,152671,154926,157272,160910,163330,161476,160097,160153,158159,158221,157690,159340,160809,163687,166546,167447,166931,165726,163139,160894,161211,163413,166637,168493,168263,166449,164358,162998,161056,163564,166861,172275,172077,170569,167190,164072,162589,162778,163642,163080,161044,156787,153156,147709,145126,143292,144028,145509,145439,144646,143583,143947,147989,151941,154065,153948,154773,155583,155935,154647,154393,154010,153140,153239,151915,150433,148784,150087,150204,149974,146316,144256,142686,143314,144222,143148,141493,139611,139938,138958,140766,140408,144061,147004,150848,152152,152890,153236,153869,154798,156756,158021,157463,157313,156385,155463,152692,150011,148154,148852,150331,152557,150945,150518,147522,147682,147276,146881,147488,148989,150742,151526,150730,149787,149827,150767,154506,155994,156924,157643,158491,160704,161357,160946,160075,159405,159910,159577,156722,154743,153351,155005,154816,152117,150669,149964,151886,153654,156418,157812,161196,163276,164735,161397,160846,160324,160778,161152,161812,162900,161393,160714,159086,158994,158501,159334,157630,158318,157722,158490,157265,153549,150925,149158,150622,151283,152170,153372,154549,155506,154955,154508,154562,156755,158636,159090,158872,159134,159908,161124,163572,165597,169696,173587,178463,183559
398147,6957,Great Barrington,City,MA,MA,Pittsfield,Berkshire County,171461,171406,171580,171392,171021,171151,171603,172879,173668,174926,176307,177933,180072,182353,184168,185878,187810,188150,187990,186629,187043,186517,185524,183799,181709,179304,177703,177233,177182,178658,180494,182600,183336,185016,187481,190986,193728,196968,199555,202238,204997,207766,210343,212847,215342,216965,218486,219790,222622,224589,226076,226516,227134,227817,228846,228712,228994,229364,230434,231249,232038,234321,237317,240030,241768,241598,240326,240413,242070,245747,248335,251011,252367,252864,252772,254358,257064,262092,267909,274292,278487,280238,281342,282728,285737,289888,295180,298793,302251,304663,307671,308220,308309,308935,313294,318071,322386,323674,324754,327419,330614,333788,336745,341315,348772,355879,360358,363300,366725,371603,375546,378108,379664,380872,382215,385349,388977,392609,395233,397815,399141,402288,406497,411825,416344,420233,422892,423935,421257,420833,421159,424633,427531,426688,424209,419836,417257,414799,413075,410744,410419,408673,406950,403473,398693,396152,393098,390224,388895,391296,395828,397472,395079,390808,386431,382299,382525,384320,386219,384005,377669,368182,359693,356613,357822,360310,361451,361311,358760,355564,353393,360739,368802,375635,374787,369961,366045,363974,364662,365376,364931,362609,360381,356024,352752,349078,351190,356131,361585,360624,357161,354523,354470,355182,356054,350558,344682,342163,339093,333213,322226,319247,319646,320647,319896,319136,318587,321008,323642,325591,326228,328446,331819,332249,331027,328800,327603,326509,324993,323618,322939,320446,318779,316061,315763,315295,314384,313658,313036,312949,312929,313301,311857,311556,311582,313660,314722,316223,317471,319808,321767,324231,326230,327064,329018,329908,330645,328275,326564,325332,327032,327927,329848,329390,329945,329460,329973,331925,334464,339888,344673,347856,345807,343708,339921,339298,338223,340780,341697,342450,342392,342989,343544,344948,348668,351823,355249,357161,359741,361782,366422,371065,373631,372142,369710,368760,369247,371257,373808,376400,376709,376348,374361,373849,375433,379578,385083,389954,394155,398134,402632,408144,416209,425404,436047
18584,14891,Hinsdale,City,MA,MA,Pittsfield,Berkshire County,131097,130934,130690,130393,130441,130643,131636,132885,133534,132776,130994,129962,129092,129421,129733,130447,130567,130607,129609,128491,127800,129659,132685,135091,136500,136073,136399,136554,136728,136679,136699,136808,137879,137885,138670,138909,140737,142700,143900,144534,145922,147648,149772,151302,152216,152735,152241,151750,151084,151416,151921,152589,153575,155225,155919,155739,154916,155975,157458,159173,159516,159949,160714,160942,160615,158664,158270,158821,160546,160250,160036,160188,162064,163266,164380,166347,168355,170531,171081,171696,172381,174309,176268,178274,179861,181440,182736,183324,183854,185491,187975,189722,191131,191634,192926,193415,194000,195200,196577,198585,200459,202088,204962,208439,211443,214078,216755,219568,222518,223432,225450,227254,229905,232256,233268,234888,237339,240464,242762,245320,245675,248010,248829,251533,253631,255632,256744,257070,255997,256244,256292,258280,261279,263399,264626,263333,260776,258401,257099,255646,256001,254749,255569,253761,252635,250640,249563,247836,248142,248565,250606,251965,252689,253164,249626,246406,243016,242900,242139,239806,236094,232462,228918,226294,225006,224722,226526,226964,226852,225824,225361,230123,235527,240170,240669,240615,238554,237354,235691,236567,236854,235509,234022,232099,230169,228069,229207,228820,230493,227781,227381,226254,226639,227843,230062,227761,224892,224374,222297,224852,222739,227198,226183,226143,225803,227858,229555,232408,234797,235310,237131,237392,239951,238812,241766,243921,245969,243591,241556,241420,243353,244182,244045,241371,240460,240357,240547,241118,241345,243605,244322,243975,241888,241424,241893,243328,243581,243308,243522,242840,242839,241812,242352,242668,244111,245460,246952,247275,247327,247411,248703,250227,251452,253176,254938,256386,257420,257187,256456,257743,260158,262190,259179,256607,253970,255304,256568,259577,260156,260228,259722,259207,258514,257867,258696,258445,258007,251923,244651,237341,235418,235866,236125,233868,230658,227992,226978,227691,228744,231392,233013,234272,234185,234192,234233,236100,238997,241971,244426,246319,248494,251693,256979,262931,268703
399058,7810,Lee,City,MA,MA,Pittsfield,Berkshire County,130509,130372,129485,128991,128644,128687,128422,128171,128800,129670,130207,130345,130650,131401,133060,133930,134621,135452,136167,136857,136331,135897,136012,136477,136480,135616,134613,133796,133401,132306,132007,131921,131835,131362,130646,130855,131913,133285,135081,136189,136749,137021,138224,139613,141515,143294,145930,147473,147982,148031,147957,149174,151141,153531,154983,155557,156581,157578,158593,159544,160972,162460,163659,164380,164375,163889,162372,161294,160270,160096,159736,159873,160356,161431,162819,163985,165424,167523,170716,174296,176474,178753,179390,180741,181614,183420,185065,186255,186776,187243,188912,191562,195953,198863,204140,207967,212348,214289,216307,220227,225738,231083,234486,235671,236776,238629,240610,242809,244792,247104,249802,251843,254718,257308,259655,262197,264313,267212,268723,270443,271745,273963,276650,276926,275321,272909,271937,271367,270306,270119,270208,271394,272394,273145,272418,273132,272791,273696,274961,278700,283304,284570,284447,282586,280906,280324,278852,276854,276771,277569,281509,281119,278804,274744,272747,272101,272414,271315,271009,268579,265333,260854,251665,244583,239613,240419,240964,240082,238357,237364,236907,241060,244863,247949,249295,249760,249992,249647,249140,249093,248076,246192,245080,243009,241603,239505,241364,241931,242464,238903,237032,236654,236977,237421,236755,233133,229819,228406,226006,227268,226452,229583,229737,229982,230822,231946,232700,234331,235133,236692,238432,239129,240391,239980,240018,238358,236716,235896,236612,238302,240583,241270,241531,240168,239630,238637,238574,239126,239884,240053,239437,238759,236749,235465,234464,235190,235356,235850,236741,237849,239020,239284,239500,238845,239875,240149,240297,238272,237103,236775,237745,239059,239602,240076,240320,241261,242072,243161,243858,246103,249170,251642,250996,248745,246442,246720,247567,248831,248250,247830,248737,250809,251508,251126,251721,253630,256507,257868,258850,259373,262870,266469,267962,265354,262533,261531,261624,262486,262880,263675,263672,263959,262923,262425,263266,266555,270848,274841,278554,281793,285492,289739,295453,301862,309080
397127,8669,Lenox,City,MA,MA,Pittsfield,Berkshire County,198896,198163,197063,195654,193824,192753,191997,192253,193080,193287,193193,192571,192481,193151,194342,195610,197459,198187,198693,197638,197007,197460,198806,200916,202042,202063,202125,201898,202022,202555,202814,204458,205316,206966,208002,209645,211479,213604,215680,216716,218542,221219,225453,228574,229970,229509,229891,229793,231812,233674,236627,240313,243006,246660,249503,251486,254272,257018,261028,265191,268266,270535,270157,270601,271476,269071,265849,264023,265884,268341,269511,268913,268103,268130,271477,274793,278174,283168,289296,295709,298044,301089,302392,307933,312497,318874,322873,326431,329526,332644,336652,339999,345406,348510,355194,359086,364042,365106,366091,367095,370242,372996,374017,372545,372269,374259,376302,376314,377108,379498,383819,387818,390367,393288,396596,403339,409943,415555,417610,420362,422122,424998,428870,430508,431423,432047,434546,435200,431395,429912,431515,436787,440399,442303,438762,439805,441295,441035,436393,431826,430489,426392,422943,419258,417467,414112,413548,408790,403479,400753,402448,404744,405597,405309,399538,391682,384725,382014,378009,373350,368914,364493,359028,355506,353434,352928,354015,354411,353484,351606,351012,354856,358860,360629,359745,354756,351844,350459,352059,352629,351663,348993,347028,344751,342696,339593,340549,340565,340316,335005,331510,330888,332055,333765,334027,329862,325716,325305,322456,325058,323834,329405,329174,328978,328349,328318,329098,331593,332894,333538,333674,333497,333541,331291,331219,329754,329531,329100,329832,331575,334472,335394,337105,335669,335920,335049,335209,335664,335425,335488,334292,333630,332599,333837,336275,339044,340342,340402,340303,341774,343936,344961,345560,344448,344703,343276,339686,335044,332120,332233,333807,334056,333001,332678,332927,333921,334552,335686,338037,342697,347992,352224,352517,351817,350375,349851,349718,351114,350894,351155,351380,351136,349870,346933,346881,348179,352043,355405,358730,360756,363974,367143,368229,367091,363469,362783,362816,364544,364959,366199,366064,366974,367726,369462,372804,378011,385967,393207,399803,405238,411349,417685,426093,434991,444802
