Keywords,Dislike,Like,Like1,Content,propertycard__styledlinkm1ur0x3_URL,propertycard__styledlinkm1ur0x3,propertycard__styledlinkm1ur0x32,Dislike3
NEW,"$375,000 ",4bd,2ba,"1,544 sqft",https://www.trulia.com/p/ma/plymouth/26-willow-st-plymouth-ma-02360--2001981165,26 Willow St,"Buttermilk Bay, Plymouth, MA","JAMES F. SAVAGE, BELSITO & ASSOCIATES INC."
NEW,"$450,000 ",3bd,2ba,"1,812 sqft",https://www.trulia.com/p/ma/plymouth/119-alewife-rd-plymouth-ma-02360--2001971826,119 Alewife Rd,"Cedarville, Plymouth, MA","ELIZABETH ISENOR, RE/MAX SPECTRUM"
NEW,"$449,900 ",4bd,2ba,"1,725 sqft",https://www.trulia.com/p/ma/bridgewater/351-south-st-bridgewater-ma-02324--2001906516,351 South St,"Bridgewater, MA","TEAM PACE, KELLER WILLIAMS REALTY"
NEW,"$379,000 ",5bd,2ba,"1,778 sqft",https://www.trulia.com/p/ma/west-wareham/8-weaver-st-west-wareham-ma-02576--1089665799,8 Weaver St,"West Wareham, West Wareham, MA","PHIL AND DEBBIE ROSE, LAER REALTY PARTNERS / ROSE HOMES & REAL ESTATE"
BANK OWNED,"$525,400 ",4bd,3ba,"2,964 sqft",https://www.trulia.com/p/ma/marshfield/364-furnace-st-marshfield-ma-02050--2001316062,364 Furnace St,"Marshfield, MA","JASON SMITH, JDS REALTY GROUP"
NEW,"$459,900 ",3bd,2ba,"1,545 sqft",https://www.trulia.com/p/ma/east-bridgewater/552-bridge-st-east-bridgewater-ma-02333--2001923536,552 Bridge St,"East Bridgewater, MA","SUSAN SOUZA, CONWAY - MATTAPOISETT"
,"$499,900 ",3bd,2ba,"1,528 sqft",https://www.trulia.com/p/ma/hanover/36-beechtree-rd-hanover-ma-02339--2001930961,36 Beechtree Rd,"Hanover, MA","DONALD HARDY, KELLER WILLIAMS REALTY"
NEW,"$524,000 ",3bd,2ba,"2,015 sqft",https://www.trulia.com/p/ma/pembroke/69-claremont-rd-pembroke-ma-02359--2001969398,69 Claremont Rd,"Pembroke, MA","KIMBERLEY TUFTS, JILL & CO. REALTY GROUP"
NEW,"$375,000 ",3bd,2ba,"1,336 sqft",https://www.trulia.com/p/ma/bridgewater/475-oak-st-bridgewater-ma-02324--2001907709,475 Oak St,"Bridgewater, MA","KAREN MURRAY, REIS REAL ESTATE & COMPANY INC."
NEW,"$550,000 ",2bd,4ba,"2,224 sqft",https://www.trulia.com/p/ma/pembroke/672-center-st-pembroke-ma-02359--2001969323,672 Center St,"Pembroke, MA","CINDI FORD, RE/MAX PLATINUM"
"NEW
OPEN SUN, 11:30-1PM","$509,000 ",4bd,2ba,"2,141 sqft",https://www.trulia.com/p/ma/lakeville/4-lincoln-st-lakeville-ma-02347--2001951957,4 Lincoln St,"North Lakeville, Lakeville, MA","CJ LEE, REDFIN CORP."
NEW,"$399,900 ",3bd,2ba,"1,592 sqft",https://www.trulia.com/p/ma/east-bridgewater/193-whitman-st-east-bridgewater-ma-02333--1086556499,193 Whitman St,"East Bridgewater, MA","ELLEN CONNELLY, RE/MAX REAL ESTATE CENTER"
NEW,"$539,900 ",4bd,2ba,"1,800 sqft",https://www.trulia.com/p/ma/brockton/78-burroughs-rd-brockton-ma-02301--2001889039,78 Burroughs Rd,"Brockton, MA","DERIC LIPSKI, KELLER WILLIAMS REALTY"
NEW,"$359,900 ",4bd,2ba,"1,481 sqft",https://www.trulia.com/p/ma/brockton/47-gordon-st-brockton-ma-02301--2001886003,47 Gordon St,"Brockton, MA","KEVIN KELLEY, SUCCESS! REAL ESTATE"
NEW,"$369,900 ",3bd,2ba,"1,385 sqft",https://www.trulia.com/p/ma/plymouth/23-peck-ave-plymouth-ma-02360--2203980305,23 Peck Ave,"Plymouth, MA","BETH TASSINARI, CENTURY 21 TASSINARI & ASSOC."
NEW,"$489,000 ",5bd,4ba,"3,106 sqft",https://www.trulia.com/p/ma/bridgewater/10-tommi-ann-ter-bridgewater-ma-02324--2001902139,10 Tommi Ann Ter,"Bridgewater, MA","JODI DONOVAN, KELLER WILLIAMS SOUTH WATUPPA"
"NEW
OPEN WED, 12-3PM","$525,000 ",3bd,2ba,"1,600 sqft",https://www.trulia.com/p/ma/hanover/23-karen-rd-hanover-ma-02339--2001930011,23 Karen Rd,"Hanover, MA","DAVID DELANEY, DAVID R. DELANEY, ESQ."
NEW,"$489,900 ",3bd,2ba,"1,834 sqft",https://www.trulia.com/p/ma/kingston/13-brewster-rd-kingston-ma-02364--2001995870,13 Brewster Rd,"Kingston, MA","LIVINGSTON REALTY GROUP, COMPASS"
