Keywords,Dislike,Like,Like1,Content,propertycard__styledlinkm1ur0x3_URL,propertycard__styledlinkm1ur0x3,propertycard__styledlinkm1ur0x32,Dislike3
NEW,"$399,000 ",3bd,2ba,"1,633 sqft",https://www.trulia.com/p/ma/stoughton/36-talbot-st-stoughton-ma-02072--2001371651,36 Talbot St,"Stoughton, MA","SHAUNA FANNING, LAMACCHIA REALTY, INC."
"NEW
OPEN SUN, 9-10AM","$529,900 ",4bd,3ba,"1,682 sqft",https://www.trulia.com/p/ma/weymouth/18-weybosset-st-weymouth-ma-02191--2001859090,18 Weybosset St,"North Weymouth, Weymouth, MA","ANGELA BERGIN, WILLIAM RAVEIS R.E. & HOME SERVICES"
NEW,"$324,900 ",2bd,2ba,"1,020 sqft",https://www.trulia.com/p/ma/rockland/91-boxberry-ln-91-rockland-ma-02370--2191357474,91 Boxberry Ln #91,"Rockland, MA","ALYSA O'HARA, BRADFORD REALTY"
,"$499,900 ",3bd,2ba,"1,528 sqft",https://www.trulia.com/p/ma/hanover/36-beechtree-rd-hanover-ma-02339--2001930961,36 Beechtree Rd,"Hanover, MA","DONALD HARDY, KELLER WILLIAMS REALTY"
NEW,"$475,000 ",4bd,2ba,"1,856 sqft",https://www.trulia.com/p/ma/randolph/114-north-st-randolph-ma-02368--2002001619,114 North St,"Randolph, MA","LISA JEDREY, KINLIN GROVER DARTMOUTH AT PADANARAM VILLAGE"
NEW,"$399,995 ",3bd,3ba,"1,576 sqft",https://www.trulia.com/p/ma/weymouth/61-broad-reach-m11b-weymouth-ma-02191--2001860970,61 Broad Reach #M11B,"North Weymouth, Weymouth, MA","DEPEND ON DAKOTA TEAM, KELLER WILLIAMS REALTY"
,"$549,000 ",4bd,2ba,"1,550 sqft",https://www.trulia.com/p/ma/braintree/4-lake-st-braintree-ma-02184--2001828553,4 Lake St,"Braintree, MA","BUY BOSTON TEAM, COLDWELL BANKER REALTY - BROOKLINE"
"NEW
OPEN WED, 12-3PM","$525,000 ",3bd,2ba,"1,600 sqft",https://www.trulia.com/p/ma/hanover/23-karen-rd-hanover-ma-02339--2001930011,23 Karen Rd,"Hanover, MA","DAVID DELANEY, DAVID R. DELANEY, ESQ."
NEW,"$549,000 ",2bd,3ba,"1,102 sqft",https://www.trulia.com/p/ma/dorchester-center/29-saint-gregory-st-29-dorchester-center-ma-02124--2532263082,29 Saint Gregory St #29,"South Dorchester, Dorchester Center, MA","NICHOLS REALTY TEAM, BOSTON TRUST REALTY GROUP"
NEW,"$425,000 ",3bd,3ba,"1,892 sqft",https://www.trulia.com/p/ma/brockton/38-hillcrest-ave-brockton-ma-02301--2001884740,38 Hillcrest Ave,"Brockton, MA","VALERIE LYONS, RE/MAX PLATINUM"
"NEW
OPEN SUN, 12-2PM","$519,990 ",4bd,2ba,"1,494 sqft",https://www.trulia.com/p/ma/quincy/141-brook-rd-quincy-ma-02169--2001774020,141 Brook Rd,"Quincy, MA","ARIAN SIMAKU, SIMAKU REALTY, LLC"
NEW,"$499,900 ",2bd,2ba,"1,116 sqft",https://www.trulia.com/p/ma/quincy/150-hancock-st-104-quincy-ma-02171--2501783165,150 Hancock St #104,"North Quincy, Quincy, MA","ROLON ROCK GROUP, POPULAR PROPERTIES REALTY,INC."
NEW,"$495,000 ",3bd,2ba,"2,803 sqft",https://www.trulia.com/p/ma/holbrook/135-s-franklin-st-holbrook-ma-02343--2088336003,135 S Franklin St,"Holbrook, MA","SHEPARD LONG, STIKELEATHER REAL ESTATE"
"NEW
OPEN SUN, 12-2PM","$369,000 ",3bd,2ba,"1,368 sqft",https://www.trulia.com/p/ma/brockton/54-rosemary-st-brockton-ma-02302--2001897652,54 Rosemary St,"Brockton, MA","DANIEL DEMERS, SELL YOUR HOME SERVICES"
,"$259,900 ",2bd,2ba,"1,092 sqft",https://www.trulia.com/p/ma/holbrook/39-kalmia-rd-holbrook-ma-02343--2001939436,39 Kalmia Rd,"Holbrook, MA","MEL ANTONIO, BERKSHIRE HATHAWAY HOME SERVICES - MEL ANTONIO REAL ESTATE"
NEW,"$365,000 ",4bd,2ba,"1,731 sqft",https://www.trulia.com/p/ma/brockton/45-baltic-ave-brockton-ma-02302--2001896851,45 Baltic Ave,"Brockton, MA","RAYMOND TURCOTTE, REALTY EXPRESS, LLC"
NEW,"$525,000 ",3bd,3ba,"2,700 sqft",https://www.trulia.com/p/ma/randolph/1-fawn-cir-randolph-ma-02368--2002003748,1 Fawn Cir,"Randolph, MA","TODD SANDLER, TODD A. SANDLER REALTORS®"
"OPEN SUN, 12-1:30PM","$412,000 ",2bd,3ba,"1,524 sqft",https://www.trulia.com/p/ma/canton/37-turtle-brook-rd-37-canton-ma-02021--2192557117,37 Turtle Brook Rd #37,"Canton, MA","RICHARD GOMOLKA, RICK GOMOLKA REALTY"
,"$524,900 ",4bd,2ba,"1,640 sqft",https://www.trulia.com/p/ma/stoughton/18-prospect-st-stoughton-ma-02072--2001368613,18 Prospect St,"Stoughton, MA","MATTHEW TULLEY, WILLIAM RAVEIS R.E. & HOME SERVICES"
NEW,"$459,999 ",99bd,198ba,"2,028 sqft",https://www.trulia.com/p/ma/quincy/32-34-n-payne-st-quincy-ma-02169--2404395852,32-34 N Payne St,"Quincy, MA","SUAN KUO, GNF METRO PROPERTIES"
,"$499,999 ",3bd,2ba,"1,299 sqft",https://www.trulia.com/p/ma/boston/14-torrey-st-1-boston-ma-02124--2001485722,14 Torrey St #1,"South Dorchester, Boston, MA","617LIVING, COMPASS"
NEW,"$549,900 ",3bd,2ba,"1,366 sqft",https://www.trulia.com/p/ma/braintree/388-liberty-st-braintree-ma-02184--2001826769,388 Liberty St,"Braintree, MA","MARIA POILLUCCI, PRIME REALTY GROUP"
NEW,"$410,000 ",3bd,2ba,"1,250 sqft",https://www.trulia.com/p/ma/quincy/25-smith-st-1-quincy-ma-02169--2532077488,25 Smith St #1,"Quincy, MA","NGHIA NGUYEN, PRIVI REALTY LLC"
"NEW
AUCTION","$375,000 ",5bd,2ba,"1,678 sqft",https://www.trulia.com/p/ma/rockland/49-custer-st-rockland-ma-02370--2002014910,49 Custer St,"Rockland, MA",
NEW,"$524,900 ",4bd,3ba,"2,919 sqft",https://www.trulia.com/p/ma/weymouth/21-23-filomena-st-weymouth-ma-02189--2190866052,21-23 Filomena St,"East Weymouth, Weymouth, MA","SHERYL BALCHUNAS, SUCCESS! REAL ESTATE"
,"$399,999 ",2bd,2ba,"1,500 sqft",https://www.trulia.com/p/ma/norwell/135-norwell-ave-norwell-ma-02061--2001337343,135 Norwell Ave,"Norwell, MA","JORGE ANDRES ZEA, JORGE ANDRES ZEA"
NEW,"$499,990 ",3bd,2ba,"1,474 sqft",https://www.trulia.com/p/ma/abington/165-colonel-hunt-dr-abington-ma-02351--2001954634,165 Colonel Hunt Dr,"Abington, MA","MANNY REYNOSO, CAMERON REAL ESTATE GROUP"
NEW,"$250,000 ",2bd,2ba,"1,059 sqft",https://www.trulia.com/p/ma/brockton/685-oak-st-24-brockton-ma-02301--2001888175,685 Oak St #24,"Brockton, MA","DONNA CHASE, WILLIAM RAVEIS R.E. & HOME SERVICES"
NEW,"$329,900 ",2bd,2ba,"1,257 sqft",https://www.trulia.com/p/ma/hull/9-park-ave-503-hull-ma-02045--2001302101,9 Park Ave #503,"Hull, MA","TODD SANDLER, TODD A. SANDLER REALTORS®"
"NEW
OPEN SAT, 11-1PM","$395,000 ",4bd,3ba,"1,344 sqft",https://www.trulia.com/p/ma/stoughton/80-packard-rd-stoughton-ma-02072--2001375414,80 Packard Rd,"Stoughton, MA","RUDOLPHE DENIS, NEW ERA REAL ESTATE HOLDINGS, INC."
NEW,"$520,000 ",3bd,2ba,"1,568 sqft",https://www.trulia.com/p/ma/lakeville/4-joshua-ln-lakeville-ma-02347--2001951945,4 Joshua Ln,"Lakeville, MA","Kenneth  Leonard, Cape Cod Ken Real Estate"
,"$450,000 ",2bd,2ba,963 sqft,https://www.trulia.com/p/ma/quincy/57-village-dr-quincy-ma-02169--2001785583,57 Village Dr,"Quincy, MA","Nancy  Prevost, Keller Williams Realty-Merrimack"
,"$549,000 ",3bd,2ba,"1,418 sqft",https://www.trulia.com/p/ma/quincy/1-beacon-st-quincy-ma-02169--2001776811,1 Beacon St,"Quincy, MA","TOM MCFARLAND, RE/MAX REALTY PROS"
,"$339,900 ",2bd,2ba,942 sqft,https://www.trulia.com/p/ma/quincy/368-granite-st-quincy-ma-02169--2001782063,368 Granite St,"Quincy, MA","ERIK MCKENZIE, MASS REALTY ADVISORS"
,"$449,000 ",4bd,2ba,"2,550 sqft",https://www.trulia.com/p/ma/quincy/102-lancaster-st-quincy-ma-02169--2001770928,102 Lancaster St,"Quincy, MA","JASON SMITH, JDS REALTY GROUP"
NEW,"$349,000 ",2bd,2ba,"1,400 sqft",https://www.trulia.com/p/ma/weymouth/200-burkhall-st-106-weymouth-ma-02190--2001853706,200 Burkhall St #106,"South Weymouth, Weymouth, MA","LEO P. CRONIN, CRONIN REAL ESTATE"
NEW,"$359,900 ",2bd,2ba,"1,115 sqft",https://www.trulia.com/p/ma/north-weymouth/61-broad-reach-m41b-north-weymouth-ma-02191--2001860992,61 Broad Reach #M41B,"North Weymouth, North Weymouth, MA","CHRISTINE SYPEK, COLDWELL BANKER REALTY - HINGHAM"
NEW,"$379,900 ",4bd,2ba,"2,085 sqft",https://www.trulia.com/p/ma/hanover/1078-hanover-st-hanover-ma-02339--2001928210,1078 Hanover St,"Hanover, MA","ROBERT BETHONEY, RIGHT PRICE PROPERTIES"
,"$380,000 ",2bd,2ba,"1,177 sqft",https://www.trulia.com/p/ma/quincy/211-west-st-4a-quincy-ma-02169--2001777948,211 West St #4A,"Quincy, MA","YUKIKO OYAMA-MORRIS, OYAMA INVESTMENTS, LTD."
NEW,"$475,000 ",2bd,2ba,"1,470 sqft",https://www.trulia.com/p/ma/weymouth/130-trotter-rd-1206-weymouth-ma-02190--2351591947,130 Trotter Rd #1206,"South Weymouth, Weymouth, MA","TEAM BETHELL, ARRIVE HOME REALTY CORP."
,"$550,000 ",3bd,2ba,"1,400 sqft",https://www.trulia.com/p/ma/quincy/52-main-st-quincy-ma-02169--2001784916,52 Main St,"Quincy, MA","PAUL M. COLLEARY, DREAM REALTY"
NEW,"$229,900 ",2bd,2ba,"1,102 sqft",https://www.trulia.com/p/ma/brockton/685-oak-st-13-3-brockton-ma-02301--2318714556,685 Oak St #13-3,"Brockton, MA","PATRICIA LOGAN, PATRICIA M. LOGAN"
,"$219,900 ",2bd,2ba,"1,155 sqft",https://www.trulia.com/p/ma/brockton/221-oak-st-15-31-brockton-ma-02301--2318689306,221 Oak St #15-31,"Brockton, MA","CHRISTINA L. MARTINEZ, WEICHERT, REALTORS® - BRIARWOOD REAL ESTATE"
,"$374,900 ",3bd,3ba,"1,576 sqft",https://www.trulia.com/p/ma/weymouth/61-broad-reach-t44b-weymouth-ma-02191--2001861036,61 Broad Reach #T44B,"North Weymouth, Weymouth, MA","DEPEND ON DAKOTA TEAM, KELLER WILLIAMS REALTY"
,"$274,900 ",2bd,2ba,985 sqft,https://www.trulia.com/p/ma/stoughton/43-mccormick-ter-50-stoughton-ma-02072--2001372387,43 McCormick Ter #50,"Stoughton, MA","MARCIA MARQUES, MARCIA MARQUES REAL ESTATE"
,"$465,000 ",2bd,2ba,"1,354 sqft",https://www.trulia.com/p/ma/hanover/2-longwood-ln-101-hanover-ma-02339--2439011013,2 Longwood Ln #101,"Hanover, MA","Easter  Realty Group, William Raveis R.E. & Home Services"
BANK OWNED,"$340,000 ",2bd,2ba,854 sqft,https://www.trulia.com/p/ma/cohasset/550-jerusalem-rd-6-cohasset-ma-02025--2001257094,550 Jerusalem Rd #6,"Cohasset, MA","THE PONTE GROUP, KELLER WILLIAMS SOUTH WATUPPA"
,"$399,900 ",2bd,2ba,"1,659 sqft",https://www.trulia.com/p/ma/south-weymouth/118-burkhall-st-0-south-weymouth-ma-02190--2529744832,118 Burkhall St #0,"South Weymouth, South Weymouth, MA","KARYN O'NEIL, ABBEY REALTY"
,"$399,000 ",2bd,2ba,"1,326 sqft",https://www.trulia.com/p/ma/brockton/45-oak-st-brockton-ma-02301--2001885797,45 Oak St,"Brockton, MA","CHRISTINE SULLIVAN, CONWAY - HANOVER"
,"$399,900 ",1bd,2ba,"1,144 sqft",https://www.trulia.com/p/ma/quincy/107-spring-st-quincy-ma-02169--2001771228,107 Spring St,"Houghs Neck, Quincy, MA","MAUREEN O FLAHERTY, RE/MAX REALTY PLUS"
,"$395,000 ",2bd,2ba,864 sqft,https://www.trulia.com/p/ma/hanover/534-webster-st-hanover-ma-02339--1007126587,534 Webster St,"Hanover, MA","TED CAPODILUPO, WINDJAMMER REAL ESTATE"
,"$435,000 ",2bd,2ba,"1,170 sqft",https://www.trulia.com/p/ma/quincy/165-quincy-shore-dr-47-quincy-ma-02171--2483625031,165 Quincy Shore Dr #47,"North Quincy, Quincy, MA","JAMES MULVEY, BIRD DOG REAL ESTATE, LLC"
,"$539,900 ",2bd,2ba,"1,699 sqft",https://www.trulia.com/p/ma/hull/1-rivers-edge-rd-1-hull-ma-02045--2190885911,1 Rivers Edge Rd #1,"Hull, MA","PENNY O'BRIEN, COLDWELL BANKER REALTY - COHASSET"
,"$369,000 ",2bd,2ba,"1,239 sqft",https://www.trulia.com/p/ma/weymouth/675-pleasant-st-1-weymouth-ma-02189--2001850821,675 Pleasant St #1,"East Weymouth, Weymouth, MA","PAMELA BATES, COLDWELL BANKER REALTY - HINGHAM"
,"$500,000 ",3bd,2ba,"1,100 sqft",https://www.trulia.com/p/ma/quincy/48-main-st-1-quincy-ma-02169--2527709366,48 Main St #1,"Quincy, MA","PAUL M. COLLEARY, DREAM REALTY"
,"$550,000 ",3bd,2ba,"1,400 sqft",https://www.trulia.com/p/ma/quincy/52-main-st-1-quincy-ma-02169--2527709323,52 Main St #1,"Quincy, MA","PAUL M. COLLEARY, DREAM REALTY"
,"$549,900 ",2bd,2ba,"1,200 sqft",https://www.trulia.com/p/ma/dorchester-center/43-withington-st-1-dorchester-center-ma-02124--2474888276,43 Withington St #1,"South Dorchester, Dorchester Center, MA","AHA HOMES TEAM, EXP REALTY"
,"$365,000 ",2bd,2ba,"1,140 sqft",https://www.trulia.com/p/ma/braintree/501-commerce-dr-3105-braintree-ma-02184--2001828714,501 Commerce Dr #3105,"Braintree, MA","AMY BERARDI, DONAHUE REAL ESTATE CO."
,"$240,000 ",2bd,2ba,"1,152 sqft",https://www.trulia.com/p/ma/brockton/789-n-main-st-5-brockton-ma-02301--2088333562,789 N Main St #5,"Brockton, MA","TANISHA SALMON, KELLER WILLIAMS REALTY"
,"$344,900 ",2bd,2ba,"1,178 sqft",https://www.trulia.com/p/ma/braintree/501-commerce-dr-2204-braintree-ma-02184--2001828681,501 Commerce Dr #2204,"Braintree, MA","DEREK GREENE, THE GREENE REALTY GROUP"
NEW,"$399,000 ",3bd,2ba,"1,633 sqft",https://www.trulia.com/p/ma/stoughton/36-talbot-st-stoughton-ma-02072--2001371651,36 Talbot St,"Stoughton, MA","SHAUNA FANNING, LAMACCHIA REALTY, INC."
"NEW
OPEN SUN, 9-10AM","$529,900 ",4bd,3ba,"1,682 sqft",https://www.trulia.com/p/ma/weymouth/18-weybosset-st-weymouth-ma-02191--2001859090,18 Weybosset St,"North Weymouth, Weymouth, MA","ANGELA BERGIN, WILLIAM RAVEIS R.E. & HOME SERVICES"
NEW,"$324,900 ",2bd,2ba,"1,020 sqft",https://www.trulia.com/p/ma/rockland/91-boxberry-ln-91-rockland-ma-02370--2191357474,91 Boxberry Ln #91,"Rockland, MA","ALYSA O'HARA, BRADFORD REALTY"
,"$499,900 ",3bd,2ba,"1,528 sqft",https://www.trulia.com/p/ma/hanover/36-beechtree-rd-hanover-ma-02339--2001930961,36 Beechtree Rd,"Hanover, MA","DONALD HARDY, KELLER WILLIAMS REALTY"
NEW,"$475,000 ",4bd,2ba,"1,856 sqft",https://www.trulia.com/p/ma/randolph/114-north-st-randolph-ma-02368--2002001619,114 North St,"Randolph, MA","LISA JEDREY, KINLIN GROVER DARTMOUTH AT PADANARAM VILLAGE"
