RegionID,SizeRank,RegionName,RegionType,StateName,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21
102001,0,United States,Country,,"1,426,869","1,384,344","1,441,460","1,528,348","1,629,854","1,703,267","1,754,325","1,778,819","1,767,626","1,747,082","1,690,059","1,593,052","1,504,784","1,456,130","1,502,414","1,568,725","1,660,895","1,732,490","1,777,051","1,787,424","1,768,522","1,738,483","1,665,173","1,549,308","1,445,955","1,396,093","1,421,544","1,408,851","1,429,982","1,429,063","1,453,774","1,424,385","1,379,567","1,339,774","1,262,833","1,154,671","1,060,709","972,241"
394913,1,"New York, NY",Msa,NY,"68,675","68,223","72,733","79,632","85,629","90,140","92,226","91,701","90,447","89,652","87,399","82,173","76,929","74,688","78,312","84,080","90,865","95,500","97,093","95,613","93,882","91,906","88,444","81,471","75,110","72,719","74,958","72,623","70,851","70,453","76,647","80,697","82,301","81,621","78,485","71,988","65,334","60,577"
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,"20,159","19,983","21,939","23,861","25,829","27,430","29,139","30,216","30,761","30,981","30,457","28,686","27,056","26,229","27,531","28,814","30,492","31,414","32,102","31,942","31,405","30,431","28,392","25,163","22,389","21,332","21,881","21,565","21,991","22,994","25,048","26,020","26,401","26,384","25,319","23,002","20,767","19,450"
394463,3,"Chicago, IL",Msa,IL,"42,974","41,322","44,988","49,553","54,087","56,435","58,325","59,292","59,134","58,387","55,643","50,817","46,103","44,308","47,315","52,300","57,201","60,369","61,714","62,193","61,865","60,827","57,581","52,127","47,369","46,015","47,873","47,798","48,183","48,730","51,280","51,937","51,070","49,802","46,596","41,750","37,147","33,332"
394514,4,"Dallas-Fort Worth, TX",Msa,TX,"24,289","23,210","24,354","26,758","29,548","31,963","33,926","35,096","35,148","34,288","33,056","31,090","29,615","28,936","30,488","32,448","34,884","37,291","39,349","40,398","39,823","38,688","36,945","34,543","32,339","31,439","32,128","32,256","33,229","33,803","34,688","33,508","31,434","30,094","28,313","26,202","23,764","21,340"
394974,5,"Philadelphia, PA",Msa,PA,"26,129","24,674","25,669","27,912","30,172","31,281","30,967","30,086","29,303","29,105","28,490","26,921","25,172","24,002","24,959","26,648","28,575","29,666","30,194","29,706","28,971","28,015","26,850","24,755","22,600","21,584","21,741","20,675","20,409","20,626","22,027","22,221","21,578","21,096","20,044","18,324","16,664","15,295"
394692,6,"Houston, TX",Msa,TX,"32,959","32,121","33,737","35,796","38,620","40,300","41,608","42,046","41,307","40,274","38,722","37,080","36,073","35,768","37,347","38,924","41,017","43,229","45,063","46,097","45,249","43,912","42,036","40,102","38,809","38,613","39,695","39,800","40,481","40,276","40,268","38,565","36,606","35,058","33,029","30,860","29,176","27,158"
395209,7,"Washington, DC",Msa,DC,"22,176","20,895","22,458","25,799","28,727","28,882","27,620","26,079","25,677","25,486","24,584","22,238","19,404","17,696","18,787","21,106","23,857","25,309","25,576","24,701","23,987","23,484","22,412","19,912","17,594","16,668","17,879","18,424","19,123","18,860","19,260","18,997","18,991","19,019","18,316","16,487","14,641","13,378"
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,"60,992","62,631","65,729","67,020","67,479","65,927","64,509","63,396","62,841","63,348","64,004","64,478","65,937","67,889","70,751","71,268","70,880","69,282","67,717","65,944","64,362","63,782","63,421","63,026","63,255","64,009","64,980","62,836","61,497","60,723","61,303","60,531","59,504","59,275","58,418","56,969",,
394347,9,"Atlanta, GA",Msa,GA,"29,756","28,631","29,734","31,123","32,745","34,267","35,763","36,847","36,640","36,160","35,060","33,439","32,144","32,901","34,601","36,278","37,260","38,931","40,313","41,101","41,022","40,746","39,447","37,380","35,709","35,065","36,062","36,380","37,665","37,884","37,868","36,320","34,310","32,843","30,712","28,318","26,568","24,621"
394404,10,"Boston, MA",Msa,MA,"10,524","9,492","10,066","11,699","14,003","15,882","16,757","16,621","16,738","17,134","16,857","14,998","12,933","11,733","12,506","14,023","16,338","17,903","18,267","17,387","16,959","16,983","16,392","14,031","11,552","10,448","11,020","11,216","11,953","12,872","14,198","14,488","14,444","14,437","13,653","11,596","9,506","8,155"
395057,11,"San Francisco, CA",Msa,CA,"4,456","4,277","5,252","6,331","7,353","7,906","8,181","8,177","8,458","8,903","8,791","7,644","6,401","6,000","6,785","7,822","8,828","9,353","9,514","9,178","9,178","9,201","8,702","7,101","5,571","5,202","5,750","5,975","6,517","7,308","8,597","9,199","9,612","10,016","9,651","8,389","6,949","6,471"
